n,r_b,k_b,,n,ka
2,2,35.177,,2,80.00380
3,3,7.859,,3,16.91220
4,4,4.505,,4,9.49579
5,4,4.101,,5,6.89049
6,5,3.064,,6,5.57681
7,5,2.858,,7,4.78352
8,6,2.382,,8,4.25011
9,6,2.253,,9,3.86502
10,6,2.137,,10,3.57267
11,7,1.897,,11,3.34227
12,7,1.814,,12,3.15540
13,7,1.738,,13,3.00033
14,8,1.599,,14,2.86924
15,8,1.540,,15,2.75672
16,8,1.485,,16,2.65889
17,8,1.434,,17,2.57290
18,9,1.354,,18,2.49660
19,9,1.311,,19,2.42833
20,10,1.253,,20,2.36683
21,10,1.218,,21,2.31106
22,10,1.184,,22,2.26020
23,11,1.143,,23,2.21359
24,11,1.114,,24,2.17067
25,11,1.087,,25,2.13100
26,11,1.060,,26,2.09419
27,11,1.035,,27,2.05991
28,12,1.010,,28,2.02790
,,,,29,1.99791
,,,,30,1.96975
,,,,31,1.94324
,,,,32,1.91822
,,,,33,1.89457
,,,,34,1.87215
,,,,35,1.85088
,,,,36,1.83065
,,,,37,1.81139
,,,,38,1.79301
,,,,39,1.77546
,,,,40,1.75868
,,,,41,1.74260
,,,,42,1.72718
,,,,43,1.71239
,,,,44,1.69817
,,,,45,1.68449
,,,,46,1.67132
,,,,47,1.65862
,,,,48,1.64638
,,,,49,1.63456
,,,,50,1.62313
,,,,52,1.60139
,,,,54,1.58101
,,,,56,1.56184
,,,,58,1.54377
,,,,60,1.52670
,,,,62,1.51053
,,,,64,1.49520
,,,,66,1.48063
,,,,68,1.46675
,,,,70,1.45352
,,,,72,1.44089
,,,,74,1.42881
,,,,76,1.41724
,,,,78,1.40614
,,,,80,1.39549
,,,,82,1.38525
,,,,84,1.37541
,,,,86,1.36592
,,,,88,1.35678
,,,,90,1.34796
,,,,92,1.33944
,,,,94,1.33120
,,,,96,1.32324
,,,,98,1.31553
,,,,100,1.30806
,,,,105,1.29036
,,,,110,1.27392
,,,,115,1.25859
,,,,120,1.24425
,,,,125,1.23080
,,,,130,1.21814
,,,,135,1.20620
,,,,140,1.19491
,,,,145,1.18421
,,,,150,1.17406
,,,,155,1.16440
,,,,160,1.15519
,,,,165,1.14640
,,,,170,1.13801
,,,,175,1.12997
,,,,180,1.12226
,,,,185,1.11486
,,,,190,1.10776
,,,,195,1.10092
,,,,200,1.09434
,,,,205,1.08799
,,,,210,1.08187
,,,,215,1.07595
,,,,220,1.07024
,,,,225,1.06471
,,,,230,1.05935
,,,,235,1.05417
,,,,240,1.04914
,,,,245,1.04426
,,,,250,1.03952
,,,,275,1.01773
,,,,299,1.00000
